,date,ret
201,1977-07-22,0.0
202,1977-07-25,0.0
203,1977-07-26,0.0
204,1977-07-27,0.0
205,1977-07-28,0.0
206,1977-07-29,0.0
207,1977-08-01,0.0
208,1977-08-02,0.0
209,1977-08-03,0.0
210,1977-08-04,0.0
211,1977-08-05,
212,1977-08-08,
213,1977-08-09,0.00490196095779538
214,1977-08-10,0.0
215,1977-08-11,0.0
216,1977-08-12,0.0
217,1977-08-15,0.0146341463550925
218,1977-08-16,0.0
219,1977-08-17,0.0
220,1977-08-18,0.0
221,1977-08-19,0.0
222,1977-08-22,0.0
223,1977-08-23,0.0
224,1977-08-24,0.0
225,1977-08-25,0.0
226,1977-08-26,0.0
227,1977-08-29,0.0
228,1977-08-30,0.0
229,1977-08-31,0.0
230,1977-09-01,0.0
231,1977-09-02,
232,1977-09-06,0.0
233,1977-09-07,
234,1977-09-08,0.0
235,1977-09-09,0.0
236,1977-09-12,
237,1977-09-13,0.00961538497358561
238,1977-09-14,0.0
239,1977-09-15,0.0
240,1977-09-16,0.0
241,1977-09-19,0.0285714287310839
242,1977-09-20,0.0
243,1977-09-21,0.0
244,1977-09-22,-0.0237268526107073
245,1977-09-23,-0.00414937781170011
246,1977-09-26,
247,1977-09-27,0.0333333350718021
248,1977-09-28,0.0
249,1977-09-29,0.0
250,1977-09-30,0.0
251,1977-10-03,0.0138248847797513
252,1977-10-04,0.0
253,1977-10-05,0.0
254,1977-10-06,0.0
255,1977-10-07,0.0
256,1977-10-10,0.0
257,1977-10-11,0.0
258,1977-10-12,0.0
259,1977-10-13,0.0
260,1977-10-14,
261,1977-10-17,0.0227272734045982
262,1977-10-18,
263,1977-10-19,-0.00444444455206394
264,1977-10-20,0.0
265,1977-10-21,0.0
266,1977-10-24,-0.00892857182770967
267,1977-10-25,0.0
268,1977-10-26,
269,1977-10-27,0.0
270,1977-10-28,0.0
271,1977-10-31,0.0180180184543133
272,1977-11-01,0.0
273,1977-11-02,0.0
274,1977-11-03,0.0
275,1977-11-04,0.0
276,1977-11-07,-0.0132743362337351
277,1977-11-08,0.0
278,1977-11-09,0.0
279,1977-11-10,0.0
280,1977-11-11,0.0
281,1977-11-14,0.00448430515825748
282,1977-11-15,0.0
283,1977-11-16,0.0
284,1977-11-17,0.0
285,1977-11-18,0.0
286,1977-11-21,
287,1977-11-22,
288,1977-11-23,
289,1977-11-25,
290,1977-11-28,0.0982142835855484
291,1977-11-29,0.0
292,1977-11-30,0.0
293,1977-12-01,0.0
294,1977-12-02,0.0
295,1977-12-05,0.0487804859876633
296,1977-12-06,0.0
297,1977-12-07,0.0
298,1977-12-08,0.0
299,1977-12-09,0.0
300,1977-12-12,0.0465116277337074
301,1977-12-13,0.0
302,1977-12-14,0.0
303,1977-12-15,0.0
304,1977-12-16,0.0
305,1977-12-19,0.0111111113801599
306,1977-12-20,0.0146520147100091
307,1977-12-21,-0.0144404331222177
308,1977-12-22,0.00732600735500455
309,1977-12-23,-0.00727272732183337
310,1977-12-27,0.0146520147100091
311,1977-12-28,0.0
312,1977-12-29,0.0
313,1977-12-30,0.0216606501489878
314,1978-01-03,
315,1978-01-04,
316,1978-01-05,
317,1978-01-06,
318,1978-01-09,
319,1978-01-10,
320,1978-01-11,
321,1978-01-12,
322,1978-01-13,-0.0212014131247997
323,1978-01-16,
324,1978-01-17,
325,1978-01-18,-0.00722021656110883
326,1978-01-19,0.0
327,1978-01-20,0.00727272732183337
328,1978-01-23,0.0
329,1978-01-24,0.0
330,1978-01-25,0.0
331,1978-01-26,0.0
332,1978-01-27,-0.00722021656110883
333,1978-01-30,-0.00727272732183337
334,1978-01-31,0.00366300367750227
335,1978-02-01,-0.00364963500760496
336,1978-02-02,0.0
337,1978-02-03,0.0
338,1978-02-06,0.0
339,1978-02-07,0.0
340,1978-02-08,0.0
341,1978-02-09,0.0
