date;vwretd;rf;mprem
2000-01-31;-0.03962428;0.004498346345757742;-0.04412262634575774
2000-02-29;0.03177836;0.004438343656719024;0.027340016343280975
2000-03-31;0.05350066;0.004891878563007879;0.04860878143699212
2000-04-28;-0.05952697;0.004401263666510724;-0.06392823366651072
2000-05-31;-0.03886961;0.0039031381835841206;-0.04277274818358412
2000-06-30;0.05160347;0.004701971741952304;0.046901498258047694
2000-07-31;-0.01771172;0.0049077623933604375;-0.022619482393360438
2000-08-31;0.07500581;0.00520829379616039;0.06979751620383962
2000-09-29;-0.05114141;0.00494523685274606;-0.05608664685274606
2000-10-31;-0.02448968;0.005035356490907805;-0.029525036490907805
2000-11-30;-0.1023722;0.005112183687833616;-0.10748438368783361
2000-12-29;0.02042246;0.004819320916922942;0.015603139083077058
2001-01-31;0.03960141;0.004030974699783085;0.03557043530021691
2001-02-28;-0.09910221;0.004186557068530217;-0.10328876706853021
2001-03-30;-0.07039171;0.0037003521745415657;-0.07409206217454156
2001-04-30;0.08382919;0.0031233014899121336;0.08070588851008786
2001-05-31;0.01045539;0.0028752113000709567;0.0075801786999290435
2001-06-29;-0.01755298;0.002849574146478906;-0.020402554146478905
2001-07-31;-0.01829797;0.0030381324436314916;-0.021336102443631492
2001-08-31;-0.05898125;0.002815574790299147;-0.061796824790299146
2001-09-28;-0.09148504;0.001983352430660057;-0.09346839243066006
2001-10-31;0.02783571;0.0017459434685933584;0.02608976653140664
2001-11-30;0.07877681;0.0014406492996419384;0.07733616070035806
2001-12-31;0.01785255;0.0013642897523848951;0.016488260247615103
2002-01-31;-0.01597466;0.0014089022402339335;-0.017383562240233935
2002-02-28;-0.02169649;0.001444921093057383;-0.023141411093057382
2002-03-28;0.04467795;0.0014258519415482063;0.043252098058451795
2002-04-30;-0.04961811;0.0014616963857203569;-0.05107980638572036
2002-05-31;-0.0105211;0.0014089022402339335;-0.011930002240233934
2002-06-28;-0.07025092;0.0013898027948049396;-0.07164072279480493
2002-07-31;-0.08114888;0.0014174100566961556;-0.08256629005669616
2002-08-30;0.007976094;0.0013813289088822067;0.006594765091117793
2002-09-30;-0.09992006;0.0013092224354760429;-0.10122928243547605
2002-10-31;0.07491931;0.0011843769316450814;0.07373493306835492
2002-11-29;0.06126282;0.0010149786028996743;0.06024784139710033
2002-12-31;-0.0533152;0.000947186474253181;-0.05426238647425318
2003-01-31;-0.0233996;0.0009557115974314634;-0.024355311597431463
2003-02-28;-0.01539111;0.0009959276835238562;-0.016387037683523856
2003-03-31;0.01031803;0.0009514338657428123;0.009366596134257188
2003-04-30;0.08274979;0.0009112935313382309;0.08183849646866177
2003-05-30;0.06343608;0.000934546610702025;0.06250153338929798
2003-06-30;0.01632021;0.0006615816395740826;0.01565862836042592
2003-07-31;0.02309801;0.0007335353444437587;0.02236447465555624
2003-08-29;0.024996;0.0008096924784575243;0.024186307521542477
2003-09-30;-0.009116273;0.0007102228298636604;-0.00982649582986366
2003-10-31;0.06031565;0.0007631451421616919;0.059552504857838306
2003-11-28;0.01659348;0.0007504604702304185;0.015843019529769582
2003-12-31;0.04550484;0.0006891176264278709;0.04481572237357213
2004-01-30;0.0230366;0.0006891020100610046;0.022347497989938996
2004-02-27;0.01547919;0.000777955160925714;0.014701234839074286
2004-03-31;-0.01066659;0.0007695117093651227;-0.011436101709365123
2004-04-30;-0.02421352;0.0006742947758289208;-0.02488781477582892
2004-05-28;0.01405848;0.000756798133349168;0.013301681866650832
2004-06-30;0.02160102;0.0009409251238741145;0.020660094876125884
2004-07-30;-0.03767046;0.001065784808795378;-0.03873624480879538
2004-08-31;0.002727823;0.0012011998053358397;0.0015266231946641602
2004-09-30;0.02054298;0.0012161428044388245;0.019326837195561174
2004-10-29;0.01780594;0.0014575993496597217;0.016348340650340278
2004-11-30;0.04820797;0.0016947748678535213;0.04651319513214648
2004-12-31;0.03517713;0.0015911022286829724;0.03358602777131703
2005-01-31;-0.02655135;0.0018029285550582586;-0.02835427855505826
2005-02-28;0.02267583;0.0020828428946053634;0.020592987105394638
2005-03-31;-0.01694849;0.0021680058582578265;-0.019116495858257827
2005-04-29;-0.02518493;0.002261304787674945;-0.027446234787674946
2005-05-31;0.03795411;0.0022949177268589693;0.03565919227314103
2005-06-30;0.01152576;0.0024906812527505373;0.009035078747249462
2005-07-29;0.0433351;0.002694471920308139;0.04064062807969186
2005-08-31;-0.00594371;0.0027882079473136034;-0.008731917947313603
2005-09-30;0.01060712;0.002658359516414688;0.007948760483585312
2005-10-31;-0.02087304;0.003085041969763891;-0.02395808196976389
2005-11-30;0.04032233;0.0033142817323190688;0.037008048267680935
2005-12-30;0.003457065;0.003293915059603414;0.00016314994039658614
2006-01-31;0.04004084;0.003612217873914858;0.03642862212608514
2006-02-28;-0.001638789;0.0036930674777688743;-0.005331856477768874
2006-03-31;0.01904188;0.00383448907198769;0.01520739092801231
2006-04-28;0.01296329;0.003851525045411419;0.009111764954588581
2006-05-31;-0.03104144;0.0039201809989142244;-0.03496162099891423
2006-06-30;-0.0003881133;0.003911155774504849;-0.004299269074504849
2006-07-31;-0.001874151;0.0042024998870666685;-0.006076650887066669
2006-08-31;0.0250479;0.004145774952179382;0.02090212504782062
2006-09-29;0.01942438;0.0038813394722785333;0.015543040527721468
2006-10-31;0.03713327;0.00430189725925012;0.03283137274074988
2006-11-30;0.02370242;0.004158562009138889;0.01954385799086111
2006-12-29;0.01085541;0.003981444479467688;0.006873965520532311
2007-01-31;0.01939655;0.004175899062553556;0.015220650937446442
2007-02-28;-0.01398767;0.004295282840200976;-0.018282952840200976
2007-03-30;0.01294977;0.0042179466304996804;0.008731823369500319
2007-04-30;0.03981525;0.00397001550009124;0.035845234499908764
2007-05-31;0.03893219;0.003919928008931262;0.03501226199106874
2007-06-29;-0.01476538;0.0037833848252004643;-0.018548764825200466
2007-07-31;-0.03176044;0.004263637515674601;-0.0360240775156746
2007-08-31;0.01163043;0.0034662358714516728;0.008164194128548328
2007-09-28;0.04084195;0.002872950119988227;0.037968999880011775
2007-10-31;0.0257964;0.0033240581130611346;0.022472341886938866
2007-11-30;-0.04932737;0.0026859746362879466;-0.05201334463628795
2007-12-31;-0.004423245;0.0023841392407928375;-0.006807384240792838
2008-01-31;-0.06213814;0.0013877159812205608;-0.06352585598122057
2008-02-29;-0.02166337;0.0017267627998094337;-0.023390132799809435
2008-03-31;-0.01042054;0.0010318608685646602;-0.011452400868564661
2008-04-30;0.05106048;0.001048884982982612;0.050011595017017386
2008-05-30;0.02380778;0.0016250137236775153;0.022182766276322485
2008-06-30;-0.0784257;0.0014130082456802473;-0.07983870824568025
2008-07-31;-0.01334129;0.00131992642992107;-0.01466121642992107
2008-08-29;0.01056561;0.0013876843090872004;0.0091779256909128
2008-09-30;-0.0979804;0.0008033023999001188;-0.09878370239990011
2008-10-31;-0.1846477;0.00021127410751220488;-0.1848589741075122
2008-11-28;-0.08461469;2.5347913129136757e-05;-0.08464003791312914
2008-12-31;0.02215415;2.5347923691354524e-05;0.022128802076308646
2009-01-30;-0.0773147;0.00014788194998716087;-0.07746258194998716
2009-02-27;-0.1002706;0.00014365610868338763;-0.10041425610868339
2009-03-31;0.08674762;0.00012675206514245474;0.08662086793485754
2009-04-30;0.1093522;2.9572699664859314e-05;0.10932262730033514
2009-05-29;0.06777447;6.759743082263014e-05;0.06770687256917737
2009-06-30;-0.003099177;0.00012041370397852802;-0.003219590703978528
2009-07-31;0.08175195;0.00010773798426955139;0.08164421201573045
2009-08-31;0.03146854;7.816010228101078e-05;0.03139037989771899
